Milliseconds
350333
350539
352744
350934
351792

8
352026
352167
352099
349842
352240

16
350731
348118
347193
349346
348843

32
349138
351972
351461
350851
350068

64
352044
349902
350255
351250
350361

128
351341
351727
352738
351667
351319

256
