Milliseconds
357744
357255
355347
352420
355388

4
353246
351560
356736
353331
355396

8
353241
354295
356293
354081
357019

16
356253
354392
350379
348834
356636

32
355396
356795
356702
357547
354814

64
353033
356941
358207
352052
352896

128
