Milliseconds
338684
336572
337095
336003
341508

8
334516
338794
334161
339481
335448

16
337222
335737
334602
336448
333140

32
333252
333906
337613
338949
337376

64
337985
336480
337782
335126
339257

128
336680
336446
335630
334927
333786

256
